Protein.Group	b14_02	b14_21
V1.CD46-0_GL0114986  [gene]  locus=scaffold25550_1:3:629:+ [Lack 5'-end] codon-table.11	5593.36	8098.49
V1.CD49-0_GL0005458  [gene]  locus=scaffold67268_2:3:1304:+ [Lack both ends] codon-table.11	62399.4	35132.8
V1.CD52-0_GL0142355  [gene]  locus=scaffold48353_2:1018:1386:+ [Complete] codon-table.11	4214.9	2110.39
V1.CD54-0_GL0041206  [gene]  locus=C642935_1:3:1691:+ [Lack 5'-end] codon-table.11	82308.3	362132
V1.CD54-0_GL0104492  [gene]  locus=scaffold48009_1:7692:10889:- [Complete] codon-table.11	9076.05	8084.81
V1.CD54-0_GL0126661  [gene]  locus=scaffold40961_1:339550:340695:- [Complete] codon-table.11	114323	45403.1
V1.CD55-0_GL0162064  [gene]  locus=scaffold148312_1:51500:53092:- [Complete] codon-table.11	NA	9583.66
V1.CD6-0-PN_GL0010683  [gene]  locus=scaffold51399_2:10355:11380:- [Complete] codon-table.11	100387	NA
V1.CD6-0-PN_GL0116224  [gene]  locus=scaffold5629_2:2:625:+ [Lack both ends] codon-table.11	35077.4	30992.8
V1.CD6-0-PT_GL0119813  [gene]  locus=scaffold43384_2:1:1110:- [Lack both ends] codon-table.11	16294	NA
V1.CD6-0-PT_GL0189128  [gene]  locus=scaffold127931_1:6388:7932:+ [Complete] codon-table.11	8425.17	NA
V1.CD6-0-PT_GL0198958  [gene]  locus=scaffold22785_1:28241:30799:- [Complete] codon-table.11	176044	35801.6
V1.CD6-4_GL0133420  [gene]  locus=scaffold79542_1:10578:11510:- [Complete] codon-table.11	15965.7	NA
V1.CD7-0-PN_GL0003453  [gene]  locus=scaffold15659_2:352:1254:+ [Lack 3'-end] codon-table.11	6477.88	NA
V1.CD7-0-PN_GL0036778  [gene]  locus=scaffold22411_2:52505:54631:+ [Complete] codon-table.11	8370.3	2196.41
V1.CD7-0-PN_GL0043943  [gene]  locus=scaffold21230_2:32820:33302:+ [Complete] codon-table.11	13197.7	7204.87
V1.CD7-4_GL0053469  [gene]  locus=scaffold200_38:2033:3529:+ [Complete] codon-table.11	7759.29	41758
V1.CD7-4_GL0072878  [gene]  locus=scaffold11345_2:3704:4144:- [Complete] codon-table.11	271557	27123.8
V1.CD7-4_GL0090881  [gene]  locus=scaffold10923_3:1234:4392:+ [Complete] codon-table.11	NA	2917.86
V1.CD7-4_GL0094066  [gene]  locus=scaffold26154_3:214:891:+ [Complete] codon-table.11	NA	5086.1
V1.FI01_GL0059745  [gene]  locus=scaffold11148_2:2:865:- [Lack 3'-end] codon-table.11	4628.14	NA
V1.FI02_GL0099471  [gene]  locus=scaffold69993_1:201:6092:+ [Complete] codon-table.11	68029.7	NA
V1.FI05_GL0020827  [gene]  locus=scaffold2116_10:128:991:- [Complete] codon-table.11	13996.1	NA
V1.FI05_GL0053724  [gene]  locus=scaffold9252_1:114:3692:- [Complete] codon-table.11	25868.1	NA
V1.FI05_GL0060428  [gene]  locus=scaffold39577_1:144855:148703:+ [Complete] codon-table.11	16711.5	NA
V1.FI07_GL0051232  [gene]  locus=scaffold27339_3:3689:3985:- [Complete] codon-table.11	95368.9	54059.3
V1.FI09_GL0189061  [gene]  locus=scaffold52135_9:618:1205:- [Lack 5'-end] codon-table.11	100826	148528
V1.FI12_GL0041124  [gene]  locus=scaffold56840_1:43:579:+ [Complete] codon-table.11	235976	NA
V1.FI13_GL0117146  [gene]  locus=scaffold59840_1_1:2:1189:+ [Lack 5'-end] codon-table.11	NA	5817.52
V1.FI14_GL0088842  [gene]  locus=scaffold23194_15:6731:9355:- [Complete] codon-table.11	257071	NA
V1.FI17_GL0046395  [gene]  locus=scaffold94950_3:3:641:+ [Lack 5'-end] codon-table.11	37780.3	27462.3
V1.FI17_GL0059730  [gene]  locus=scaffold98353_1:1:738:+ [Lack 5'-end] codon-table.11	NA	32041.3
V1.FI17_GL0076740  [gene]  locus=scaffold88585_8:25670:26404:- [Complete] codon-table.11	253114	119021
V1.FI24_GL0031614  [gene]  locus=scaffold39233_5:2024:3550:- [Complete] codon-table.11	8198.32	NA
V1.FI24_GL0033041  [gene]  locus=scaffold17692_27:4147:4545:+ [Complete] codon-table.11	38399	104500
V1.FI25_GL0156514  [gene]  locus=scaffold82682_1:2313:3200:- [Lack 5'-end] codon-table.11	10210.5	NA
V1.FI28_GL0220650  [gene]  locus=scaffold78700_1:476:1411:- [Lack 5'-end] codon-table.11	30004.1	NA
V1.FI31_GL0008447  [gene]  locus=scaffold69936_2:2:559:+ [Lack 5'-end] codon-table.11	NA	14989.7
V1.FI33_GL0022502  [gene]  locus=scaffold172_1:293:1639:- [Complete] codon-table.11	6971.91	NA
V1.FI34_GL0136726  [gene]  locus=scaffold29282_7:1:1386:+ [Lack both ends] codon-table.11	128483	67869.9
V1.FI35_GL0048884  [gene]  locus=scaffold33444_34:8843:9925:+ [Complete] codon-table.11	NA	8584.15
V1.FI36_GL0094039  [gene]  locus=scaffold30920_3:93452:95536:- [Complete] codon-table.11	73262.8	38613.7
V1.FI36_GL0156545  [gene]  locus=scaffold348_1:32620:35850:+ [Complete] codon-table.11	8550.73	1795.68
V1.UC11-5_GL0013869  [gene]  locus=scaffold3365_1:252:785:+ [Lack 3'-end] codon-table.11	79285.8	31288.4
V1.UC11-5_GL0076153  [gene]  locus=scaffold16127_4:204:767:+ [Complete] codon-table.11	20829.4	NA
V1.UC11-5_GL0187668  [gene]  locus=scaffold9962_13:10272:11663:+ [Complete] codon-table.11	54295	91057.9
V1.UC13-0_GL0035836  [gene]  locus=scaffold1585_7:881:1714:- [Complete] codon-table.11	169316	81859.7
V1.UC13-3_GL0117811  [gene]  locus=scaffold48980_1:2:652:- [Lack both ends] codon-table.11	NA	11262.3
V1.UC14-1_GL0081888  [gene]  locus=scaffold5687_1:1:1575:+ [Lack 5'-end] codon-table.11	NA	53575.4
V1.UC15-3_GL0110486  [gene]  locus=scaffold4808_18:3:749:+ [Lack both ends] codon-table.11	60335.1	38676.3
V1.UC15-3_GL0116846  [gene]  locus=scaffold57713_1:2:1150:+ [Lack both ends] codon-table.11	NA	9715.34
V1.UC16-0_GL0020775  [gene]  locus=scaffold852_7:290:838:- [Lack 5'-end] codon-table.11	77657.6	15077.4
V1.UC16-0_GL0067758  [gene]  locus=scaffold1026_2:3:425:+ [Lack 5'-end] codon-table.11	44726.6	3183.53
V1.UC17-2_GL0079076  [gene]  locus=scaffold24926_1:10468:11661:- [Complete] codon-table.11	142021	59494.5
V1.UC24-0_GL0002146  [gene]  locus=scaffold86987_3:2:658:+ [Lack both ends] codon-table.11	48780.7	76820.4
V1.UC25-0_GL0055143  [gene]  locus=scaffold16612_9:3:887:+ [Lack 5'-end] codon-table.11	113946	20460.7
V1.UC26-0_GL0155513  [gene]  locus=scaffold7473_4:2:691:- [Lack both ends] codon-table.11	202254	1839.63
V1.UC26-4_GL0136685  [gene]  locus=scaffold22366_2:16609:18468:+ [Complete] codon-table.11	23099.1	7642.54
V1.UC27-0_GL0117561  [gene]  locus=scaffold102666_1:2215:2433:+ [Lack 3'-end] codon-table.11	20718.4	NA
V1.UC34-0_GL0003452  [gene]  locus=scaffold13889_4:53631:54503:+ [Complete] codon-table.11	48484.4	12700.9
V1.UC34-0_GL0035774  [gene]  locus=C686342_1:702:902:+ [Lack 3'-end] codon-table.11	NA	34370.7
V1.UC35-0_GL0094530  [gene]  locus=scaffold99664_1:2496:4214:+ [Complete] codon-table.11	NA	17798.1
V1.UC4-5_GL0030814  [gene]  locus=scaffold23968_1:1:549:+ [Lack 5'-end] codon-table.11	18086.9	15322.2
V1.UC4-5_GL0090328  [gene]  locus=scaffold89155_4:1:549:+ [Lack 5'-end] codon-table.11	3629.65	NA
V1.UC50-1_GL0034110  [gene]  locus=scaffold65309_10:583:1959:- [Complete] codon-table.11	26208.7	NA
V1.UC50-1_GL0090363  [gene]  locus=scaffold645_2:6457:8184:+ [Lack 3'-end] codon-table.11	7899.97	6342.32
V1.UC52-0_GL0125727  [gene]  locus=scaffold118804_1:165:1085:- [Complete] codon-table.11	NA	8249.05
V1.UC52-0_GL0147636  [gene]  locus=scaffold39495_1:2756:4135:+ [Complete] codon-table.11	4030.06	NA
V1.UC52-1_GL0196554  [gene]  locus=scaffold42497_2:114:1028:- [Lack 5'-end] codon-table.11	37050.4	5769.55
V1.UC53-4_GL0068965  [gene]  locus=scaffold52172_1:1:414:- [Lack 3'-end] codon-table.11	407316	1475.12
V1.UC55-0_GL0059169  [gene]  locus=scaffold91872_3:1:711:- [Lack both ends] codon-table.11	NA	6931.99
V1.UC55-0_GL0212922  [gene]  locus=scaffold93464_2:194:640:+ [Complete] codon-table.11	NA	14848.9
V1.UC58-0_GL0004459  [gene]  locus=scaffold71849_2:1:585:- [Lack 3'-end] codon-table.11	511159	NA
V1.UC60-0_GL0052142  [gene]  locus=scaffold879_2:1:3867:+ [Lack 5'-end] codon-table.11	65690.1	27571
V1.UC8-0_GL0009569  [gene]  locus=C1233143_1:1:540:+ [Lack both ends] codon-table.11	31372.5	NA
