Protein.Group	b14_27	b14_01	b14_02	b14_10	b14_20	b14_21	b14_24
MH0233_GL0105808  [gene]  locus=scaffold55138_2:2:592:- [Lack both ends] codon-table.11	13754.4	46897.3	20926.3	102593	53160	18224.8	18034.1
MH0236_GL0075610  [gene]  locus=scaffold29532_6_1:15147:16847:- [Complete] codon-table.11	NA	NA	NA	24353	NA	NA	NA
MH0238_GL0067109  [gene]  locus=scaffold100632_1:7:1101:- [Complete] codon-table.11	36154.7	75749.5	158086	30585	72585.5	60052.8	26969.7
MH0239_GL0037300  [gene]  locus=scaffold37903_3:189:467:- [Complete] codon-table.11	NA	25826.9	164879	41222	34420.6	16928.3	NA
MH0239_GL0065227  [gene]  locus=scaffold41431_1:24:617:+ [Complete] codon-table.11	12594.2	54769.7	8599.67	167494	64496.7	21996.9	23374.8
MH0243_GL0005283  [gene]  locus=scaffold40367_3:1487:2929:+ [Lack 3'-end] codon-table.11	33817.1	127939	16247.2	NA	NA	NA	NA
MH0244_GL0086909  [gene]  locus=scaffold33687_1:11685:12971:- [Complete] codon-table.11	NA	NA	NA	NA	NA	NA	13035.5
MH0244_GL0124662  [gene]  locus=scaffold4478_1:4107:6101:+ [Complete] codon-table.11	NA	15651.6	19168.7	NA	41774	9671.52	NA
MH0250_GL0135963  [gene]  locus=scaffold79100_4:3183:3581:- [Complete] codon-table.11	NA	NA	NA	3687.1	3545.05	NA	NA
MH0250_GL0185216  [gene]  locus=scaffold158131_3:67599:69164:+ [Complete] codon-table.11	NA	20076.8	NA	NA	NA	NA	NA
MH0250_GL0261474  [gene]  locus=scaffold52591_13:817:1797:- [Complete] codon-table.11	17839.9	19498.8	22341.7	11164.6	19658	NA	NA
MH0250_GL0262281  [gene]  locus=scaffold149581_1:619:1602:- [Complete] codon-table.11	17256.4	NA	19689	NA	20486	NA	NA
MH0251_GL0072568  [gene]  locus=scaffold29409_2:3986:5398:+ [Complete] codon-table.11	117769	91940.8	54991.4	96379.9	112508	21168.3	148144
MH0251_GL0121713  [gene]  locus=scaffold3056_1:2562:3755:+ [Complete] codon-table.11	234519	275166	175695	252385	338658	253806	163144
MH0251_GL0175798  [gene]  locus=scaffold28199_5:3832:4506:+ [Complete] codon-table.11	NA	5247.91	4061.57	10089.7	4705.26	3213.24	4729.81
MH0252_GL0039289  [gene]  locus=scaffold128261_2:8627:8986:- [Complete] codon-table.11	42872.3	43735.1	7725.42	92092	NA	4534.28	15009.2
MH0252_GL0125144  [gene]  locus=scaffold138210_1:15988:18630:+ [Complete] codon-table.11	24664.9	38781.5	21333.4	37656.8	41544.4	10321.6	13578.7
MH0252_GL0184446  [gene]  locus=scaffold12902_28:7380:8756:+ [Complete] codon-table.11	17711.6	39298.7	29340.8	79225.4	32020.1	NA	44401
MH0253_GL0213763  [gene]  locus=scaffold132003_8:1413:2342:- [Complete] codon-table.11	NA	NA	NA	9685.58	NA	NA	NA
MH0257_GL0093519  [gene]  locus=scaffold91802_1:604:1827:- [Complete] codon-table.11	7133.28	6560.76	6768.8	9173.49	13358.6	NA	6049.56
MH0257_GL0147322  [gene]  locus=scaffold110287_1:2421:3995:+ [Complete] codon-table.11	NA	NA	NA	NA	31543.2	NA	11309.5
MH0259_GL0120051  [gene]  locus=scaffold46595_1:729:1877:- [Complete] codon-table.11	92393.4	272268	176466	168835	322424	5903.12	160652
MH0259_GL0139137  [gene]  locus=scaffold57712_10:321:1547:+ [Lack 3'-end] codon-table.11	14326	24599.2	24936.3	13057.1	21899.4	NA	9176.73
MH0259_GL0176399  [gene]  locus=scaffold48675_14:8521:9624:+ [Complete] codon-table.11	NA	NA	NA	4357.23	NA	NA	NA
MH0262_GL0028975  [gene]  locus=scaffold37432_10:897:1451:+ [Complete] codon-table.11	NA	18566.7	NA	11797.9	NA	NA	21671.5
MH0265_GL0002602  [gene]  locus=scaffold25056_2:334:4146:+ [Complete] codon-table.11	55732.1	325632	240262	14187.3	184603	9798.96	35901.3
MH0265_GL0162741  [gene]  locus=scaffold70745_1:2:571:- [Lack both ends] codon-table.11	NA	55215.4	49496.6	16499.7	53824.7	NA	11380.2
MH0267_GL0117850  [gene]  locus=scaffold114226_1:2:1741:+ [Lack 5'-end] codon-table.11	129896	44802.9	NA	NA	NA	NA	80248.4
MH0267_GL0184495  [gene]  locus=scaffold85515_2:3:707:- [Lack both ends] codon-table.11	22231.4	37914	31364.9	42416.1	53837.2	NA	34687.9
MH0268_GL0082510  [gene]  locus=scaffold15093_3:8573:10177:- [Complete] codon-table.11	33706.8	515857	883841	423161	586581	142527	304266
MH0268_GL0173004  [gene]  locus=scaffold509_3:798:1811:+ [Complete] codon-table.11	NA	4370.39	NA	4791.41	3133.23	NA	3004.2
MH0270_GL0022394  [gene]  locus=scaffold76415_3:2:1897:+ [Lack 5'-end] codon-table.11	29007.7	33580.5	28956.6	73996.6	63280.1	8760.75	31916.2
MH0270_GL0058843  [gene]  locus=scaffold19022_13:1237:1929:+ [Lack 3'-end] codon-table.11	84098.4	115124	10664.1	86281.3	76918.9	212164	114046
MH0271_GL0126954  [gene]  locus=scaffold65880_1:127:993:- [Complete] codon-table.11	100567	109316	29694.3	124179	33716	8649.03	63656.5
MH0274_GL0006991  [gene]  locus=scaffold93964_1:9195:10727:+ [Complete] codon-table.11	46807.8	252476	113113	NA	100753	NA	13694.6
MH0274_GL0054087  [gene]  locus=scaffold82707_1:1276:2319:- [Complete] codon-table.11	14001	8588.78	14240.5	5918.49	26122.9	7791.81	18192.1
MH0274_GL0147438  [gene]  locus=scaffold82492_6:928:2403:- [Complete] codon-table.11	464999	1.45946e+06	949144	1.18226e+06	700742	374244	755581
MH0275_GL0129479  [gene]  locus=scaffold49198_4:1155:2504:+ [Lack 3'-end] codon-table.11	19515.9	NA	NA	10981.4	NA	211854	39847.4
MH0276_GL0031464  [gene]  locus=scaffold126647_2:6492:7943:+ [Complete] codon-table.11	NA	8417.46	NA	34078.8	5890.95	3320.84	NA
MH0276_GL0040077  [gene]  locus=scaffold157143_1:583:1170:+ [Complete] codon-table.11	NA	9295.57	NA	NA	16928.4	NA	NA
MH0276_GL0157470  [gene]  locus=scaffold28258_4:15351:16535:- [Complete] codon-table.11	26899.6	32849.3	16766.1	21150.4	NA	NA	14842.3
MH0276_GL0172881  [gene]  locus=scaffold71632_1:2516:3367:+ [Complete] codon-table.11	NA	16252.5	40972.4	NA	9753.3	NA	NA
MH0276_GL0224587  [gene]  locus=scaffold86842_1:9899:10684:+ [Complete] codon-table.11	15555.7	45127.6	25240.9	21435.5	40469.4	NA	9027.38
MH0281_GL0038819  [gene]  locus=scaffold19484_5:2:514:- [Lack 3'-end] codon-table.11	14014.4	16023.3	5168.5	6770.01	7161.44	NA	13999.4
MH0281_GL0071487  [gene]  locus=scaffold81060_2:20049:20747:- [Complete] codon-table.11	44829.8	36062.1	17708.3	10634.2	8174.92	10489	24795.4
MH0281_GL0096870  [gene]  locus=scaffold34195_2:2:616:- [Lack both ends] codon-table.11	37566.7	24571.9	57546.1	32794.1	30631.8	10118.3	37344
MH0286_GL0042158  [gene]  locus=scaffold120567_1:13690:16206:- [Complete] codon-table.11	NA	13431.4	86116.9	NA	8716.46	NA	NA
MH0287_GL0097163  [gene]  locus=scaffold31570_1:201:503:- [Lack 5'-end] codon-table.11	NA	NA	16628.9	NA	NA	NA	NA
MH0287_GL0121276  [gene]  locus=scaffold13677_2:1033:2502:+ [Complete] codon-table.11	NA	NA	NA	13736.7	NA	NA	NA
MH0287_GL0131882  [gene]  locus=scaffold731_1:624:2000:- [Complete] codon-table.11	NA	14406.6	NA	11486.6	17682.1	NA	13185.5
MH0288_GL0076807  [gene]  locus=scaffold40111_1:4265:4822:+ [Complete] codon-table.11	8312.59	11184.2	46381.6	13504.8	24502.9	10698.1	13293.3
MH0290_GL0087955  [gene]  locus=C1356422_1:1596:4568:- [Lack 5'-end] codon-table.11	7608.38	27485.6	NA	3236.66	NA	NA	36475.5
MH0292_GL0017180  [gene]  locus=scaffold48687_2:1418:2323:+ [Complete] codon-table.11	104517	102101	185676	95178.5	130330	84830.4	114068
MH0303_GL0006468  [gene]  locus=scaffold63135_11:2980:4191:+ [Complete] codon-table.11	29708.5	20625.1	42708.4	32435.2	13302.9	17312.2	8836.03
MH0303_GL0014066  [gene]  locus=scaffold113267_6:1:1041:+ [Lack 5'-end] codon-table.11	119928	245990	166870	209683	228832	NA	169819
MH0307_GL0180694  [gene]  locus=C1420144_1:1:402:+ [Lack 5'-end] codon-table.11	18850.9	19165.8	13143.9	16437.6	13515.8	10145.2	30176.8
MH0308_GL0034488  [gene]  locus=scaffold21471_2:494:1879:- [Complete] codon-table.11	NA	1981.32	2250.69	NA	1778.71	NA	NA
MH0309_GL0017860  [gene]  locus=scaffold94780_1:443:2080:+ [Complete] codon-table.11	244422	194802	116702	242808	156214	NA	156466
MH0309_GL0131756  [gene]  locus=scaffold6989_3:591:2675:- [Complete] codon-table.11	NA	NA	NA	NA	6266.81	NA	NA
MH0309_GL0139724  [gene]  locus=scaffold31541_7:1:1560:- [Lack both ends] codon-table.11	23275.8	26463.1	16208.9	41193.8	NA	NA	NA
MH0309_GL0174644  [gene]  locus=scaffold58266_1:225:653:- [Complete] codon-table.11	NA	NA	12295.1	4997	7293.24	NA	6544.27
MH0310_GL0096639  [gene]  locus=scaffold225_8:2453:3718:- [Complete] codon-table.11	NA	3986.01	NA	1094.53	NA	NA	1965.31
MH0311_GL0045966  [gene]  locus=C878096_1:1:1398:+ [Lack 5'-end] codon-table.11	NA	22489.1	81545.1	NA	32337.6	11624.8	23939.2
MH0313_GL0016480  [gene]  locus=scaffold81889_2:6601:7572:- [Complete] codon-table.11	NA	NA	NA	22480	23461.8	16244.5	9330.26
MH0313_GL0047842  [gene]  locus=scaffold96673_1:36:1130:- [Complete] codon-table.11	NA	NA	4278.22	NA	NA	NA	NA
MH0314_GL0028678  [gene]  locus=scaffold22051_4:885:2489:+ [Complete] codon-table.11	160904	443421	352605	321410	354884	214225	387242
MH0314_GL0111349  [gene]  locus=scaffold37748_1:6344:7348:+ [Complete] codon-table.11	NA	4490.23	15220.9	NA	NA	NA	NA
MH0314_GL0154708  [gene]  locus=scaffold70347_1:26278:27630:- [Complete] codon-table.11	164426	170273	12829.2	219416	NA	139621	196122
MH0315_GL0028193  [gene]  locus=scaffold30210_2:1027:1446:+ [Lack 3'-end] codon-table.11	19521.9	12013.4	11457.3	NA	12923.3	NA	11774
MH0318_GL0009298  [gene]  locus=scaffold11941_1:105:2138:- [Complete] codon-table.11	NA	16017.1	16111.6	28185.9	27037.9	NA	19823.5
MH0318_GL0044972  [gene]  locus=scaffold117565_2:3567:4937:+ [Lack 3'-end] codon-table.11	NA	21397	NA	8456.94	NA	NA	4472.23
MH0318_GL0078889  [gene]  locus=scaffold163823_2:1437:2072:+ [Complete] codon-table.11	NA	NA	NA	3642.42	6848.06	NA	NA
MH0318_GL0139235  [gene]  locus=scaffold101879_5:997:1422:- [Complete] codon-table.11	NA	10680.3	10805.4	26900	9604.27	5578.43	5348.42
MH0318_GL0187019  [gene]  locus=scaffold162117_1:4707:5567:+ [Complete] codon-table.11	7775.52	NA	NA	NA	6024.76	9644.47	7626.26
MH0318_GL0197751  [gene]  locus=scaffold119198_2:2:1285:- [Lack 3'-end] codon-table.11	46192.4	77624.4	NA	127954	NA	4040.12	24536.7
MH0323_GL0149024  [gene]  locus=scaffold40007_2:102:1568:+ [Complete] codon-table.11	NA	NA	17010.9	NA	4790.27	NA	7265.39
MH0325_GL0024659  [gene]  locus=scaffold20098_5:1:774:+ [Lack 5'-end] codon-table.11	15221.3	6416.74	NA	3502.57	NA	14857.8	9465.27
MH0326_GL0086705  [gene]  locus=scaffold48630_6:22:1026:- [Lack 5'-end] codon-table.11	257220	474991	355141	320031	404152	407360	412663
MH0329_GL0210519  [gene]  locus=scaffold25336_2:1:2610:+ [Lack 5'-end] codon-table.11	NA	NA	NA	40826.6	NA	34372.7	45818.4
MH0333_GL0067146  [gene]  locus=scaffold37662_1:3815:7636:+ [Complete] codon-table.11	21876	23595.1	12827	26153.8	20461.2	12022	20764.2
MH0335_GL0070054  [gene]  locus=scaffold38620_20:385:1320:+ [Complete] codon-table.11	6032.96	6459.44	NA	NA	4809.21	7798.75	7582.83
MH0335_GL0094895  [gene]  locus=scaffold38519_1:3:1196:+ [Lack 5'-end] codon-table.11	NA	NA	NA	NA	NA	16998.4	29141.3
MH0336_GL0095773  [gene]  locus=scaffold16849_2:8271:9686:- [Complete] codon-table.11	143585	354371	250628	266303	311820	NA	200879
MH0336_GL0097832  [gene]  locus=scaffold102009_3:318:581:- [Lack 5'-end] codon-table.11	88116.7	89125.1	280093	72084.2	136994	NA	82880.5
MH0336_GL0141460  [gene]  locus=scaffold96072_1:946:1338:+ [Complete] codon-table.11	14279.2	26496	47466	13779.3	25515.6	NA	19594.1
MH0337_GL0003002  [gene]  locus=scaffold20343_8:13:1305:- [Complete] codon-table.11	84240.1	52781.1	141957	103535	90782.7	65411.4	73607.6
MH0337_GL0012713  [gene]  locus=scaffold68545_1:45998:47182:- [Complete] codon-table.11	63370.6	NA	123247	NA	NA	90933.4	92240.3
MH0338_GL0049524  [gene]  locus=scaffold32979_2:801:1808:+ [Complete] codon-table.11	NA	NA	NA	10375.8	NA	NA	NA
MH0339_GL0201051  [gene]  locus=scaffold77245_10:275:1684:+ [Complete] codon-table.11	NA	13232.7	10920.4	9416.8	10793.7	NA	7403.15
MH0339_GL0215019  [gene]  locus=scaffold88157_7:179:1000:- [Lack 5'-end] codon-table.11	NA	17925.5	17419.9	26767.2	12802.9	NA	16022.6
MH0340_GL0132716  [gene]  locus=scaffold14357_1:1:765:+ [Lack 5'-end] codon-table.11	342612	352838	396512	735717	371754	NA	382239
MH0341_GL0054772  [gene]  locus=scaffold28916_3:1:489:+ [Lack 5'-end] codon-table.11	NA	16836.5	46711.4	NA	13296.1	NA	NA
MH0341_GL0102431  [gene]  locus=scaffold4981_11:3873:5954:- [Complete] codon-table.11	NA	7780.23	5750.43	6313.48	115679	8315.8	9562.37
MH0343_GL0015628  [gene]  locus=scaffold14462_12:464:862:+ [Complete] codon-table.11	44689.7	141599	NA	271719	8090.87	7593.77	47481.2
MH0343_GL0074680  [gene]  locus=scaffold72058_2:1:159:- [Lack 3'-end] codon-table.11	578596	1.35011e+06	790520	938455	1.52836e+06	201082	432606
MH0345_GL0087811  [gene]  locus=scaffold81319_3:13945:16572:+ [Complete] codon-table.11	69944.2	120473	50726.2	70497.8	70893.9	20752.9	53088.5
MH0348_GL0135260  [gene]  locus=scaffold41556_1:101:2164:- [Complete] codon-table.11	NA	NA	NA	NA	2757.48	1307.61	NA
MH0351_GL0006420  [gene]  locus=scaffold11286_9:1:1077:+ [Lack 5'-end] codon-table.11	37876.2	37630.5	13564.2	28922.4	60637.6	NA	35921.7
MH0351_GL0072984  [gene]  locus=scaffold45948_2:12376:14103:- [Complete] codon-table.11	NA	11659	NA	3151.88	NA	2369.02	4448.09
MH0354_GL0078014  [gene]  locus=C1109777_1:5992:7389:+ [Complete] codon-table.11	34765.4	NA	NA	140363	292539	1211.29	17968.8
MH0355_GL0148797  [gene]  locus=scaffold18455_64:275:976:+ [Complete] codon-table.11	44389.6	92544.6	171454	70285.1	61549.8	9538.02	90825.6
MH0356_GL0152792  [gene]  locus=scaffold19610_3:1:705:+ [Lack 5'-end] codon-table.11	6946.17	22413.8	4828.73	64109.7	22025.8	7957.51	10119.3
MH0357_GL0054509  [gene]  locus=scaffold36794_8:1596:2645:+ [Lack 3'-end] codon-table.11	NA	17189.6	NA	17048.6	14847.9	NA	NA
MH0358_GL0026334  [gene]  locus=scaffold27265_15:8205:10508:+ [Complete] codon-table.11	28746	65369.2	47750.2	70454	84050.4	12361.3	26912.6
MH0358_GL0033673  [gene]  locus=scaffold44751_3:16416:16673:+ [Complete] codon-table.11	NA	NA	NA	NA	NA	6618.7	6433.9
MH0359_GL0120883  [gene]  locus=scaffold56532_1:2837:3808:+ [Complete] codon-table.11	NA	NA	NA	NA	NA	1801.02	NA
MH0361_GL0045501  [gene]  locus=scaffold1141_5:351:1958:- [Complete] codon-table.11	82353.9	212771	663074	186936	133347	413636	492231
MH0362_GL0054677  [gene]  locus=scaffold92284_2:471:1661:+ [Complete] codon-table.11	3417.9	5202.96	NA	NA	5890.96	NA	3242.89
MH0365_GL0135523  [gene]  locus=scaffold54625_9:2:838:+ [Lack both ends] codon-table.11	34445.2	53909.7	211594	46173.7	34160.3	NA	22587.3
MH0367_GL0050854  [gene]  locus=scaffold85351_2:3:2165:+ [Lack 5'-end] codon-table.11	75784.6	59291.3	2.55652e+06	25794.8	41641.5	29072	65223.4
MH0369_GL0026310  [gene]  locus=scaffold128997_2:3950:5269:- [Complete] codon-table.11	NA	NA	NA	NA	NA	NA	4064.69
MH0370_GL0021527  [gene]  locus=scaffold87598_1:138:1967:+ [Complete] codon-table.11	24431.5	27560.6	NA	42235.4	NA	NA	6742.93
MH0370_GL0029760  [gene]  locus=scaffold87499_1:1334:2758:+ [Complete] codon-table.11	5820.62	7948.9	10120.3	33466.4	9678.32	30335.9	17051.1
MH0370_GL0093077  [gene]  locus=scaffold2805_9:471:1796:- [Complete] codon-table.11	NA	13151.4	NA	9970.65	NA	NA	NA
MH0371_GL0087622  [gene]  locus=scaffold50606_4:2:1222:+ [Lack 5'-end] codon-table.11	10023.3	8859.86	NA	11091.2	13697.6	11549.6	10197.3
MH0372_GL0033251  [gene]  locus=scaffold27170_9:1809:3353:- [Complete] codon-table.11	14925.5	46654.1	42210.4	41082.6	37205.4	7938.38	23396.4
MH0372_GL0043015  [gene]  locus=scaffold80949_2:2174:3628:- [Complete] codon-table.11	33719.5	18380.2	8302.19	24577	16355.3	6565.23	28222
MH0373_GL0050012  [gene]  locus=scaffold26856_4:295:1011:+ [Lack 3'-end] codon-table.11	NA	114300	NA	247768	NA	18573.1	44244.9
MH0373_GL0050835  [gene]  locus=scaffold82165_3:1:642:- [Lack both ends] codon-table.11	4287.42	2021.44	NA	3689.01	NA	NA	NA
MH0373_GL0112954  [gene]  locus=scaffold34309_4:2476:4569:+ [Complete] codon-table.11	76152	41905	NA	68223.2	NA	NA	13176.1
MH0373_GL0116967  [gene]  locus=scaffold58922_2:697:1719:- [Complete] codon-table.11	6125.32	61433.8	67909.5	14192.6	72138	9945.22	10800.2
MH0376_GL0120645  [gene]  locus=scaffold94997_1:8094:9095:- [Complete] codon-table.11	326749	898705	2.72097e+06	115329	651980	207538	318177
MH0377_GL0051513  [gene]  locus=scaffold78507_1:2:391:+ [Lack 5'-end] codon-table.11	NA	NA	NA	NA	NA	2660.56	NA
MH0377_GL0162010  [gene]  locus=scaffold72728_5:3650:4159:+ [Complete] codon-table.11	35244.6	63045.6	41861.6	90930.1	135463	41322.2	70256
MH0377_GL0222732  [gene]  locus=scaffold32395_3:19002:19697:+ [Complete] codon-table.11	NA	NA	24284.1	18509.2	NA	NA	NA
MH0378_GL0156280  [gene]  locus=scaffold95535_1:1:771:- [Lack both ends] codon-table.11	52866	NA	NA	56045.4	NA	2221.99	10929.4
MH0381_GL0041614  [gene]  locus=scaffold44555_3:22224:24860:- [Complete] codon-table.11	89401	84090	33878	708357	245493	75071.6	88124.9
MH0381_GL0118587  [gene]  locus=scaffold66542_1:3:1802:+ [Lack 5'-end] codon-table.11	168817	176730	42775.3	153525	87681.7	122688	151080
MH0381_GL0148015  [gene]  locus=scaffold30895_1:18549:19736:+ [Complete] codon-table.11	12157.1	23691.2	40624	7064.47	11228.2	NA	NA
MH0385_GL0030117  [gene]  locus=C1778906_1:116:1327:- [Lack 5'-end] codon-table.11	108627	598576	171096	654203	80158.2	29468.9	147443
MH0385_GL0075391  [gene]  locus=scaffold39903_1:11508:13808:+ [Complete] codon-table.11	22099.3	42269.5	27055.3	NA	24304.7	NA	NA
MH0385_GL0116243  [gene]  locus=scaffold104423_2:1171:1920:+ [Complete] codon-table.11	8838.27	5111.08	29324.2	5841.25	13572.3	NA	9287.82
MH0385_GL0121908  [gene]  locus=scaffold8683_2:301:675:+ [Complete] codon-table.11	26914.2	8853.23	NA	21173.5	4051.26	44946.2	18951.8
MH0385_GL0206702  [gene]  locus=scaffold124732_1:1128:3749:- [Complete] codon-table.11	168761	293873	154236	179404	428660	129394	217542
MH0389_GL0025499  [gene]  locus=scaffold117422_1:4746:6836:- [Complete] codon-table.11	28538.3	183278	214701	65258.4	171092	1424.97	33503.1
MH0389_GL0029301  [gene]  locus=scaffold13915_4:92:382:+ [Complete] codon-table.11	NA	NA	NA	NA	2193.68	2889.79	2554.91
MH0389_GL0063168  [gene]  locus=scaffold40641_5:2038:2295:- [Complete] codon-table.11	4725.51	32326.9	8438.19	68404.8	27670.6	7722.04	7002.12
MH0389_GL0130251  [gene]  locus=scaffold118556_1:6443:6964:- [Complete] codon-table.11	20092.8	31231.6	18673.5	50335.2	32986.8	14309	32418.2
MH0389_GL0142223  [gene]  locus=scaffold1117_2:3914:5953:+ [Complete] codon-table.11	30991.8	271687	NA	NA	128784	NA	15760.4
MH0389_GL0154539  [gene]  locus=scaffold109700_1:1267:1998:+ [Lack 3'-end] codon-table.11	11986.3	35435.3	5344.54	NA	5960.78	3088.93	7257.41
MH0389_GL0174798  [gene]  locus=scaffold56763_2:592:4416:+ [Complete] codon-table.11	132581	147629	126932	79349.4	141601	30548.9	99095.8
MH0390_GL0033768  [gene]  locus=scaffold55362_1:1:1119:+ [Lack 5'-end] codon-table.11	2691.05	NA	NA	2580.5	NA	2138.21	2335.75
MH0390_GL0125747  [gene]  locus=scaffold69887_2:1:555:+ [Lack both ends] codon-table.11	5601.25	15363	9318.23	10878.4	8807.76	NA	6920.99
MH0393_GL0083918  [gene]  locus=scaffold11007_2:3:869:- [Lack both ends] codon-table.11	12351.2	37529.8	14275.2	46975.4	26548.1	17567.4	13590.8
MH0397_GL0182232  [gene]  locus=scaffold118599_1:17195:18373:- [Complete] codon-table.11	24029.2	16256.3	NA	17122.5	NA	NA	NA
MH0400_GL0080982  [gene]  locus=scaffold70383_2:2074:2931:+ [Complete] codon-table.11	72956.3	81704.8	495262	41436.6	299084	NA	NA
MH0402_GL0025865  [gene]  locus=scaffold55774_20:5254:6702:+ [Lack 3'-end] codon-table.11	11475.5	NA	NA	5552.08	NA	5847.06	9636
MH0402_GL0094049  [gene]  locus=scaffold109756_4:2:280:+ [Lack 5'-end] codon-table.11	NA	NA	NA	7836.85	NA	NA	NA
MH0402_GL0168365  [gene]  locus=scaffold88437_1:109:948:- [Complete] codon-table.11	NA	NA	10732.6	7094.4	NA	NA	6485.21
MH0406_GL0147645  [gene]  locus=scaffold66760_4:2:826:+ [Lack 5'-end] codon-table.11	NA	NA	76977.1	NA	NA	NA	21526
MH0406_GL0176763  [gene]  locus=scaffold32739_2:3:683:- [Lack both ends] codon-table.11	NA	NA	NA	3039.89	5024.29	NA	2361.62
MH0407_GL0040794  [gene]  locus=scaffold18621_8:212:3301:+ [Complete] codon-table.11	49488.8	NA	NA	89362.3	150996	NA	40454.7
MH0407_GL0127135  [gene]  locus=scaffold39803_3:6517:9774:- [Complete] codon-table.11	9484.65	NA	42013.1	NA	22266.7	NA	6860.38
MH0408_GL0013184  [gene]  locus=scaffold17800_1:21:233:+ [Complete] codon-table.11	65030.2	156207	70535.9	394565	188552	70078.1	81023.5
MH0409_GL0027800  [gene]  locus=scaffold30802_2:1498:2244:+ [Complete] codon-table.11	54046.7	26565.6	NA	37570.7	NA	NA	14035.3
MH0409_GL0082970  [gene]  locus=scaffold2631_15:1833:2795:+ [Lack 3'-end] codon-table.11	NA	26045.2	NA	32171.8	27820.3	19522.5	22429.2
MH0412_GL0094349  [gene]  locus=scaffold97694_2:37055:38569:+ [Complete] codon-table.11	15440.3	43492.1	13220.1	48484	33977.7	20314.1	15306.6
MH0412_GL0096195  [gene]  locus=scaffold70983_2:14229:14627:+ [Complete] codon-table.11	50763.3	65656.2	154842	41840.3	78180.4	NA	54740.9
MH0413_GL0200687  [gene]  locus=scaffold31175_1:1356:2678:- [Complete] codon-table.11	NA	11967.5	7470.31	NA	NA	NA	12978.8
MH0414_GL0038383  [gene]  locus=scaffold41945_1:1:330:- [Lack 3'-end] codon-table.11	NA	45889	18746.3	51290.1	48783	48709.3	41013.3
MH0415_GL0024504  [gene]  locus=scaffold112634_2:47905:48924:- [Complete] codon-table.11	NA	12786.3	NA	NA	NA	NA	NA
MH0415_GL0161389  [gene]  locus=scaffold31846_17:2:2350:- [Lack 3'-end] codon-table.11	22656.1	35845.3	NA	41148.1	NA	NA	NA
MH0415_GL0240971  [gene]  locus=scaffold132678_4:82788:86489:- [Complete] codon-table.11	30583.5	86389.3	57094.2	65001.5	82754.4	45927.7	60342.9
MH0417_GL0188653  [gene]  locus=scaffold1306_1:1308:4346:+ [Complete] codon-table.11	NA	NA	NA	25331.7	NA	NA	NA
MH0421_GL0021620  [gene]  locus=scaffold140292_1:682:1299:+ [Complete] codon-table.11	15860.5	64576.4	30120.4	36891.6	29310.4	128045	13955.9
MH0421_GL0080121  [gene]  locus=scaffold150013_2:2:958:- [Lack 3'-end] codon-table.11	59185.7	89446.1	NA	28847.5	24246.8	NA	19145.7
MH0421_GL0155800  [gene]  locus=scaffold1517_12:4987:6351:- [Lack 5'-end] codon-table.11	1799.24	1025.43	NA	2378.68	NA	NA	NA
MH0422_GL0145500  [gene]  locus=scaffold64184_7:524:949:+ [Complete] codon-table.11	NA	62068.3	22280.9	75451.4	56593.6	79610.6	52804
MH0424_GL0104348  [gene]  locus=scaffold24449_1:13876:14658:+ [Complete] codon-table.11	50118.8	163307	NA	31446.8	NA	NA	69024.2
MH0430_GL0056455  [gene]  locus=scaffold4018_1:856:3435:- [Complete] codon-table.11	NA	NA	NA	NA	NA	NA	12392.9
MH0431_GL0151069  [gene]  locus=scaffold56776_2:39265:40620:- [Complete] codon-table.11	17917.6	31338.3	8766.96	33401.9	31049.6	NA	32924.5
MH0432_GL0032032  [gene]  locus=scaffold579_2:3:1316:+ [Lack 5'-end] codon-table.11	43659.5	28111.8	17915.3	44331.2	52694.1	NA	36844.8
MH0433_GL0173376  [gene]  locus=scaffold61490_6:441:1466:+ [Complete] codon-table.11	23561.7	64808.8	67666.6	19114	130882	NA	33011.8
MH0433_GL0213379  [gene]  locus=scaffold16498_5:552:2177:- [Complete] codon-table.11	66519.5	49510.8	8823.12	128862	20275.2	7090.88	30703.5
MH0433_GL0227617  [gene]  locus=scaffold1139_2:151:1350:+ [Lack 3'-end] codon-table.11	NA	4024.34	NA	5280.89	NA	3740.79	4569.45
MH0434_GL0054898  [gene]  locus=scaffold50290_5:2:1357:- [Lack 3'-end] codon-table.11	NA	NA	NA	5081.85	NA	NA	NA
MH0434_GL0080937  [gene]  locus=scaffold76263_12:10512:10859:- [Complete] codon-table.11	23494.5	NA	NA	NA	NA	47646.6	26275.1
MH0434_GL0217453  [gene]  locus=scaffold76079_4:1:543:- [Lack both ends] codon-table.11	53753.6	128015	167789	244730	123981	87315.7	87162
MH0437_GL0149308  [gene]  locus=scaffold91845_9_1:15232:18006:+ [Complete] codon-table.11	26601.7	28945.4	66493.4	8444.08	20440.4	NA	15942.6
MH0437_GL0163589  [gene]  locus=scaffold52630_2:256:924:- [Lack 5'-end] codon-table.11	NA	NA	1683.91	NA	6531.68	5221.69	NA
MH0437_GL0266761  [gene]  locus=scaffold6939_2:1085:3607:- [Complete] codon-table.11	4516.5	17853.2	16355.1	14399.6	12917.6	4838.78	6695.19
MH0438_GL0184626  [gene]  locus=scaffold141784_2:6566:7489:+ [Complete] codon-table.11	17233.1	32710.4	NA	NA	3817.69	NA	48846
